<FP><ROLE>,COMINGOUT,0,99,,,
<FP>が<ROLE>だから、<TARGET>さんが<ROLE>だと思うわ,COMINGOUT,0,99,ESTIMATE,0,1
<FP>が<ROLE>なので、<TARGET>は<ROLE>です,COMINGOUT,0,99,ESTIMATE,0,1
<FP>が<ROLE>だぜ！,COMINGOUT,0,99,,,
<FP>が<ROLE>だよ！,COMINGOUT,0,99,,,
<FP>が<ROLE>だわ！,COMINGOUT,0,99,,,
<FP>が<ROLE>です,COMINGOUT,0,99,,,
<FP>が<ROLE>です！,COMINGOUT,0,99,,,
<FP>が本当の<ROLE>だよ！,COMINGOUT,0,99,,,
<FP>こそが本当の<ROLE>だよ！,COMINGOUT,0,99,,,
<FP>こそが本当の<ROLE>だわ！,COMINGOUT,0,99,,,
<FP>は<ROLE>,COMINGOUT,0,99,,,
<FP>は<ROLE>じゃ,COMINGOUT,0,99,,,
<FP>は<ROLE>だぜ,COMINGOUT,0,99,,,
<FP>は<ROLE>だよ,COMINGOUT,0,99,,,
<FP>は<ROLE>だわ,COMINGOUT,0,99,,,
<FP>は<ROLE>ですぜ,COMINGOUT,0,99,,,
<FP>は<ROLE>ですよ,COMINGOUT,0,99,,,
<FP>は<ROLE>ですわ,COMINGOUT,0,99,,,
<SUBMIT>は<ROLE>ですわ,COMINGOUT,0,99,,,
COするけど、<FP><ROLE>なんだよね,COMINGOUT,0,99,,,
あたいは<ROLE>ですから,COMINGOUT,0,99,,,
はい！<FP><ROLE>,COMINGOUT,0,99,,,
<ROLE>COするね,COMINGOUT,0,99,,,
<ROLE>は<FP>だ,COMINGOUT,0,99,,,
<DAY>の占い結果だよ、<TARGET>さんは<ROLE>だったよ,DIVINED,0,0,,,
<DAY>の占い結果、<TARGET>さんは<ROLE>でした,DIVINED,0,0,,,
<FP>が<TARGET>に<ROLE>出ししたので<TARGET>は<ROLE>だと思いますわ,DIVINED,0,0,ESTIMATE,1,1
<FP>が<TARGET>を<ROLE>出ししたので<TARGET>は<ROLE>だと思いますぜ,DIVINED,0,0,ESTIMATE,1,1
